case_id,source_dataset,benchmark_record_id,original_index,vc_description,vc_preamble,vc_spec,scanner_confidence,scanner_gap_category,scanner_reason,existing_status,candidate_priority_rank,direct_dafny_exists,adapted_demo_exists,existing_case_dir,scanner_score
DA0199,apps,DA0199,apps_test_985,"Given n bishops on a 1000×1000 grid, count the number of pairs that attack each other.
Two bishops attack each other if and only if they are on the same diagonal (either main diagonal or anti-diagonal).
Main diagonal: x - y is constant, Anti-diagonal: x + y is constant.","predicate ValidInput(positions: seq<(int, int)>)
{
    |positions| >= 1 && |positions| <= 200000 &&
    (forall i :: 0 <= i < |positions| ==> 
        1 <= positions[i].0 <= 1000 && 1 <= positions[i].1 <= 1000) &&
    (forall i, j :: 0 <= i < j < |positions| ==> positions[i] != positions[j])
}

function CountAttackingPairs(positions: seq<(int, int)>): int
    requires ValidInput(positions)
{
    |set i, j | 0 <= i < j < |positions| && 
               (positions[i].0 + positions[i].1 == positions[j].0 + positions[j].1 ||
                positions[i].0 - positions[i].1 == positions[j].0 - positions[j].1) :: (i, j)|
}

predicate ValidOutput(positions: seq<(int, int)>, result: int)
    requires ValidInput(positions)
{
    result == CountAttackingPairs(positions) && result >= 0
}","method SolveBishops(positions: seq<(int, int)>) returns (result: int)
    requires ValidInput(positions)
    ensures ValidOutput(positions, result)
    ensures result >= 0",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,11,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0199,12
DA0208,apps,DA0208,apps_test_1009,"Given n cowbells with integer sizes s₁ ≤ s₂ ≤ ... ≤ sₙ and k boxes, find the minimum box size s 
such that all cowbells can be packed into the k boxes, where each box can hold at most 2 cowbells,
the sum of cowbell sizes in each box cannot exceed the box size s, and all boxes have the same size s.","predicate ValidInput(n: int, k: int, L: seq<int>)
{
    n >= 1 && k >= 1 && n <= 2*k &&
    |L| == n &&
    (forall i :: 0 <= i < |L|-1 ==> L[i] <= L[i+1]) &&
    (forall i :: 0 <= i < |L| ==> L[i] >= 0)
}

predicate ValidBoxConfiguration(boxes: seq<int>, boxSize: int)
{
    |boxes| >= 1 &&
    (forall i :: 0 <= i < |boxes| ==> boxes[i] <= boxSize) &&
    (forall i :: 0 <= i < |boxes| ==> boxes[i] >= 0)
}

function sum(s: seq<int>): int
{
    if |s| == 0 then 0 else s[0] + sum(s[1..])
}

function max(s: seq<int>): int
    requires |s| > 0
{
    if |s| == 1 then s[0]
    else if s[0] >= max(s[1..]) then s[0]
    else max(s[1..])
}","method solve(n: int, k: int, L: seq<int>) returns (result: int)
    requires ValidInput(n, k, L)
    ensures result >= 0",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,12,True,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0208,12
DA0244,apps,DA0244,apps_test_1134,"Given n consecutive days of river observations where on day i there are m_i marks 
strictly above the current water level, find the minimum possible sum of d_i over 
all n days, where d_i is the number of marks strictly below the water level on day i.
Each day a mark is made at the current water level, marks never wash away, and the
total number of marks can only stay the same or increase each day.","predicate ValidInput(n: int, m: seq<int>) {
    n > 0 && |m| == n && 
    forall i :: 0 <= i < n ==> 0 <= m[i] < i + 1
}

predicate ValidSolution(n: int, m: seq<int>, dm: seq<int>) {
    |dm| == n && |m| == n &&
    (forall i :: 0 <= i < n ==> dm[i] >= m[i] + 1) &&
    (forall i :: 0 <= i < n - 1 ==> dm[i] <= dm[i + 1])
}

function SumBelow(m: seq<int>, dm: seq<int>): int
    requires |m| == |dm|
{
    if |m| == 0 then 0
    else (dm[0] - 1 - m[0]) + SumBelow(m[1..], dm[1..])
}","method solve(n: int, m: seq<int>) returns (result: int)
    requires ValidInput(n, m)
    ensures result >= 0",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,13,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0244,12
DA0258,apps,DA0258,apps_test_1212,"Given a fence with n planks of heights, find k consecutive planks with the minimum sum of heights.
Return the 1-indexed starting position of such a sequence. If multiple solutions exist, return any valid one.","function sum_window(heights: seq<int>, start: int, k: int): int
  requires 0 <= start
  requires start + k <= |heights|
  requires k > 0
  decreases k
{
  if k == 1 then heights[start]
  else heights[start] + sum_window(heights, start + 1, k - 1)
}

predicate ValidInput(n: int, k: int, heights: seq<int>)
{
  1 <= k <= n && |heights| == n && forall i :: 0 <= i < n ==> 1 <= heights[i] <= 100
}

predicate ValidResult(result: int, n: int, k: int, heights: seq<int>)
  requires ValidInput(n, k, heights)
{
  1 <= result <= n-k+1 &&
  forall start :: 0 <= start <= n-k ==> 
    sum_window(heights, result-1, k) <= sum_window(heights, start, k) &&
  forall start :: 0 <= start < result-1 ==>
    sum_window(heights, start, k) > sum_window(heights, result-1, k)
}","method solve(n: int, k: int, heights: seq<int>) returns (result: int)
  requires ValidInput(n, k, heights)
  ensures ValidResult(result, n, k, heights)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,14,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0258,12
DA0265,apps,DA0265,apps_test_1240,"Given n columns of soldiers where column i has l_i soldiers starting with left leg 
and r_i soldiers starting with right leg, find which column to swap (change all 
left-leg soldiers to right-leg and vice versa) to maximize the beauty of the parade.
Beauty is defined as |L - R| where L is total left-leg soldiers and R is total 
right-leg soldiers across all columns. You can swap at most one column. 
Output the 1-indexed column number to swap, or 0 if no swap improves the current beauty.","predicate ValidInput(columns: seq<(int, int)>)
{
    forall i :: 0 <= i < |columns| ==> columns[i].0 > 0 && columns[i].1 > 0
}

function abs(x: int): int
{
    if x >= 0 then x else -x
}

function sum_left(columns: seq<(int, int)>): int
{
    if |columns| == 0 then 0
    else columns[0].0 + sum_left(columns[1..])
}

function sum_right(columns: seq<(int, int)>): int
{
    if |columns| == 0 then 0
    else columns[0].1 + sum_right(columns[1..])
}","method solve(columns: seq<(int, int)>) returns (result: int)
    requires ValidInput(columns)
    ensures 0 <= result <= |columns|
    ensures var L := sum_left(columns);
            var R := sum_right(columns);
            var original_beauty := abs(L - R);
            if result == 0 then
                forall i :: 0 <= i < |columns| ==> 
                    var new_L := L - columns[i].0 + columns[i].1;
                    var new_R := R - columns[i].1 + columns[i].0;
                    abs(new_L - new_R) <= original_beauty
            else
                1 <= result <= |columns| &&
                var best_idx := result - 1;
                var best_L := L - columns[best_idx].0 + columns[best_idx].1;
                var best_R := R - columns[best_idx].1 + columns[best_idx].0;
                var best_beauty := abs(best_L - best_R);
                best_beauty > original_beauty &&
                forall i :: 0 <= i < |columns| ==> 
                    var new_L := L - columns[i].0 + columns[i].1;
                    var new_R := R - columns[i].1 + columns[i].0;
                    abs(new_L - new_R) <= best_beauty",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,15,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0265,12
DA0281,apps,DA0281,apps_test_1346,"Given two polynomials f(x) and g(x) with positive integer coefficients,
find any coefficient in their product h(x) = f(x) · g(x) that is not
divisible by a given prime p. The gcd constraint ensures at least one
coefficient in each polynomial is not divisible by p.","predicate ValidInput(n: int, m: int, p: int, f: seq<int>, g: seq<int>) {
    n >= 1 && m >= 1 &&
    p >= 2 &&
    |f| == n && |g| == m &&
    (forall k :: 0 <= k < |f| ==> f[k] > 0) &&
    (forall k :: 0 <= k < |g| ==> g[k] > 0) &&
    (exists k :: 0 <= k < |f| && f[k] % p != 0) &&
    (exists k :: 0 <= k < |g| && g[k] % p != 0)
}

predicate ValidResult(result: int, n: int, m: int, p: int, f: seq<int>, g: seq<int>) 
    requires p != 0
{
    exists i, j :: 0 <= i < |f| && 0 <= j < |g| &&
            (forall k :: 0 <= k < i ==> f[k] % p == 0) &&
            f[i] % p != 0 &&
            (forall k :: 0 <= k < j ==> g[k] % p == 0) &&
            g[j] % p != 0 &&
            result == i + j &&
            0 <= result < |f| + |g|
}","method solve(n: int, m: int, p: int, f: seq<int>, g: seq<int>) returns (result: int)
    requires ValidInput(n, m, p, f, g)
    requires p != 0
    ensures ValidResult(result, n, m, p, f, g)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,16,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0281,12
DA0293,apps,DA0293,apps_test_1430,"Given a binary string S of length N and an integer K, find the maximum length of 
consecutive '1's achievable using at most K flip operations. Each flip operation 
chooses a contiguous range and flips all bits in that range (0→1, 1→0).","predicate ValidInput(N: int, K: int, S: string)
{
    N > 0 && K >= 0 && |S| == N && 
    forall i :: 0 <= i < |S| ==> S[i] == '0' || S[i] == '1'
}

function StringToBits(S: string): seq<int>
    requires forall i :: 0 <= i < |S| ==> S[i] == '0' || S[i] == '1'
{
    seq(|S|, i requires 0 <= i < |S| => if S[i] == '0' then 0 else 1)
}

predicate ValidResult(result: int, N: int)
{
    0 <= result <= N
}","method solve(N: int, K: int, S: string) returns (result: int)
    requires ValidInput(N, K, S)
    ensures ValidResult(result, N)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,17,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0293,12
DA0315,apps,DA0315,apps_test_1618,"Given a staircase with n stairs at non-decreasing heights, process m boxes thrown sequentially.
Each box has width w and height h, covering stairs 1 through w. A box falls until its bottom 
touches either a stair top or a previously placed box top within its coverage area.
Determine the landing height of each box's bottom.","function max(a: int, b: int): int
{
    if a >= b then a else b
}

predicate ValidStairs(stair_heights: seq<int>)
{
    |stair_heights| >= 1 &&
    (forall i :: 0 <= i < |stair_heights| - 1 ==> stair_heights[i] <= stair_heights[i + 1]) &&
    (forall i :: 0 <= i < |stair_heights| ==> stair_heights[i] >= 0)
}

predicate ValidBoxes(boxes: seq<(int, int)>, stairs_amount: int)
{
    forall i :: 0 <= i < |boxes| ==> boxes[i].0 >= 1 && boxes[i].0 <= stairs_amount && boxes[i].1 >= 1
}

predicate ValidResult(result: seq<int>, boxes: seq<(int, int)>, stair_heights: seq<int>)
    requires |stair_heights| >= 1
    requires forall i :: 0 <= i < |boxes| ==> boxes[i].0 >= 1 && boxes[i].0 <= |stair_heights|
{
    |result| == |boxes| &&
    (forall i :: 0 <= i < |boxes| ==> result[i] >= 0) &&
    (forall i :: 0 <= i < |boxes| ==> 
        result[i] >= stair_heights[0] && result[i] >= stair_heights[boxes[i].0 - 1]) &&
    (forall i :: 0 <= i < |boxes| ==> 
        result[i] == max(if i == 0 then stair_heights[0] else result[i-1] + boxes[i-1].1, 
                        stair_heights[boxes[i].0 - 1]))
}","method solve(stairs_amount: int, stair_heights: seq<int>, boxes_amount: int, boxes: seq<(int, int)>) returns (result: seq<int>)
    requires stairs_amount >= 1
    requires |stair_heights| == stairs_amount
    requires boxes_amount >= 0
    requires |boxes| == boxes_amount
    requires ValidStairs(stair_heights)
    requires ValidBoxes(boxes, stairs_amount)
    ensures ValidResult(result, boxes, stair_heights)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,18,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0315,12
DA0359,apps,DA0359,apps_test_1849,"Given an integer n, consider all integers from 0 to 10^n - 1, each padded with leading zeros to exactly n digits.
A ""block"" is a maximal consecutive sequence of identical digits.
For each length i from 1 to n, count the total number of blocks of length i across all these padded numbers.
Output n integers modulo 998244353, where the i-th integer is the number of blocks of length i.","const MOD := 998244353

predicate ValidInput(n: int)
{
  n >= 1
}

function BlockCountFormula(n: int, i: int): int
  requires n >= 1 && 1 <= i <= n
{
  if i == n then 10
  else 
    ((2 * 9 * pow(10, n - i - 1, MOD) * 10) + 
     (if i < n - 1 then ((n - 1 - i) * 9 * 9 * pow(10, n - i - 2, MOD) * 10) else 0)) % MOD
}

predicate ValidResult(result: seq<int>, n: int)
  requires n >= 1
{
  |result| == n &&
  (forall k :: 0 <= k < n ==> 0 <= result[k] < MOD) &&
  (n >= 1 ==> result[n-1] == 10) &&
  (forall i :: 0 <= i < n-1 ==> result[i] == BlockCountFormula(n, i+1))
}","method solve(n: int) returns (result: seq<int>)
  requires ValidInput(n)
  ensures ValidResult(result, n)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,19,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0359,12
DA0363,apps,DA0363,apps_test_1886,"Given a non-empty word consisting of lowercase and uppercase English letters,
capitalize the first letter while keeping all other letters unchanged.","predicate ValidInput(word: string)
{
  |word| > 0 && forall i :: 0 <= i < |word| ==> ('a' <= word[i] <= 'z') || ('A' <= word[i] <= 'Z')
}

predicate CorrectCapitalization(input: string, output: string)
  requires ValidInput(input)
{
  |output| == |input| &&
  ('A' <= output[0] <= 'Z') &&
  (('a' <= input[0] <= 'z') ==> ('A' <= output[0] <= 'Z')) &&
  (('A' <= input[0] <= 'Z') ==> (output[0] == input[0])) &&
  forall i :: 1 <= i < |input| ==> output[i] == input[i]
}",,high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,20,False,False,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0363,12
